date,HUFL,HULL,MUFL,MULL
2016/7/9 10:00,13.59,85.9063,0.0037,0.5
2016/7/9 11:00,18.72,81.019,0.001,0.26
2016/7/9 12:00,13.62,85.938,0.002,0.44
2016/7/9 13:00,14.07,85.4069,0.0031,0.52
2016/7/9 14:00,18.87,80.8881,0.0019,0.24
2016/7/9 15:00,14.41,85.2276,0.0024,0.36
2016/7/9 16:00,12.87,86.6372,0.0028,0.49
2016/7/9 17:00,18.72,81.009,0.001,0.27
2016/7/9 18:00,14.05,85.5676,0.0024,0.38
2016/7/9 19:00,14.07,85.4171,0.0029,0.51
2016/7/9 20:00,18.92,80.679,0.001,0.33
2016/7/9 21:00,14.1,85.528,0.002,0.37
2016/7/9 22:00,12.52,86.9766,0.0034,0.5
2016/7/9 23:00,19.09,80.5687,0.0013,0.34
2016/7/10 0:00,14.5,85.1278,0.0022,0.37
2016/7/10 1:00,13.47,86.0665,0.0035,0.46
2016/7/10 2:00,18.73,81.0486,0.0014,0.22
2016/7/10 3:00,13.65,85.9478,0.0022,0.4
2016/7/10 4:00,13.61,85.9775,0.0025,0.41
2016/7/10 5:00,18.95,80.7288,0.0012,0.32
2016/7/10 6:00,14.17,85.4679,0.0021,0.36
2016/7/10 7:00,12.6,86.9063,0.0037,0.49
2016/7/10 8:00,19.01,80.6588,0.0012,0.33
2016/7/10 9:00,14.3,85.3379,0.0021,0.36
2016/7/10 10:00,12.76,86.7464,0.0036,0.49
2016/7/10 11:00,18.66,81.0986,0.0014,0.24
2016/7/10 12:00,14.46,85.0676,0.0024,0.47
2016/7/10 13:00,13.42,86.1574,0.0026,0.42
2016/7/10 14:00,18.72,80.939,0.001,0.34
2016/7/10 15:00,13.63,85.998,0.002,0.37
2016/7/10 16:00,13.59,85.9066,0.0034,0.5
2016/7/10 17:00,18.71,80.9481,0.0019,0.34
2016/7/10 18:00,13.61,86.0181,0.0019,0.37
2016/7/10 19:00,14.05,85.487,0.003,0.46
2016/7/10 20:00,18.7,80.9685,0.0015,0.33
2016/7/10 21:00,13.99,85.5779,0.0021,0.43
2016/7/10 22:00,14,85.5563,0.0037,0.44
2016/7/10 23:00,18.91,80.7586,0.0014,0.33
2016/7/11 0:00,14.08,85.5577,0.0023,0.36
2016/7/11 1:00,12.5,87.0074,0.0026,0.49
2016/7/11 2:00,18.92,80.8783,0.0017,0.2
2016/7/11 3:00,13.67,85.8881,0.0019,0.44
2016/7/11 4:00,12.99,86.5475,0.0025,0.46
2016/7/11 5:00,18.88,80.8686,0.0014,0.25
2016/7/11 6:00,14.41,85.2279,0.0021,0.36
2016/7/11 7:00,12.88,86.6265,0.0035,0.49
2016/7/11 8:00,19.02,80.7486,0.0014,0.23
2016/7/11 9:00,13.91,85.6277,0.0023,0.46
2016/7/11 10:00,12.79,86.7875,0.0025,0.42
2016/7/11 11:00,18.72,81.0588,0.0012,0.22
2016/7/11 12:00,13.62,85.9779,0.0021,0.4
2016/7/11 13:00,13.58,86.0064,0.0036,0.41
2016/7/11 14:00,19.17,80.5181,0.0019,0.31
2016/7/11 15:00,14.25,85.3579,0.0021,0.39
2016/7/11 16:00,13.18,86.3368,0.0032,0.48
2016/7/11 17:00,18.65,81.1285,0.0015,0.22
2016/7/11 18:00,14.45,85.0976,0.0024,0.45
2016/7/11 19:00,13.41,86.1773,0.0027,0.41
2016/7/11 20:00,18.9,80.7889,0.0011,0.31
2016/7/11 21:00,14.46,85.1181,0.0019,0.42
2016/7/11 22:00,12.93,86.6469,0.0031,0.42
2016/7/11 23:00,18.83,80.9484,0.0016,0.22
2016/7/12 0:00,14.3,85.2278,0.0022,0.47
2016/7/12 1:00,12.76,86.7662,0.0038,0.47
2016/7/12 2:00,18.9,80.9083,0.0017,0.19
2016/7/12 3:00,14.46,85.0878,0.0022,0.45
2016/7/12 4:00,12.93,86.6175,0.0025,0.45
2016/7/12 5:00,18.93,80.749,0.001,0.32
2016/7/12 6:00,14.13,85.518,0.002,0.35
2016/7/12 7:00,12.55,86.9566,0.0034,0.49
